"","pid","age","handedness","bid","BOXED.rcs.overall","FLANKER.rcs.overall","BRT.rt_mean.correct","BRT.rt_mean.correct.dominant","BRT.rt_mean.correct.nondominant","BACKWARDSSPATIALSPAN.object_count_span.overall","inhibition","wm"
"50","wpi31727054008s5o20",18,"LEFT","wpi31727054008s5o20.session0",1.52029489555782,2.17616580310881,250,248.866666666667,251.133333333333,6,"Average","Low"
"51","wpi3s17275723569x62",20,"RIGHT","wpi3s17275723569x62.session0",1.2350005841219,1.89993666877771,250.566666666667,243.266666666667,257.866666666667,9,"Average","High"
"52","wpi3ag1728443677168",18,"RIGHT","wpi3ag1728443677168.session0",1.06887853264355,2.21911728445796,320,317.733333333333,322.266666666667,7,"Average","Average"
"53","wpi317p2780p3812651",18,"RIGHT","wpi317p2780p3812651.session0",1.19210076388562,2.07660359944624,283.9,276.733333333333,291.066666666667,7,"Average","Average"
"54","wpi317o2t7806106208",21,"RIGHT","wpi317o2t7806106208.session0",1.1038961038961,2.05855443732845,343.172413793103,312.266666666667,376.285714285714,5,"Average","Low"
"55","wpi31727d8083o32028",18,"LEFT","wpi31727d8083o32028.session0",1.21597761268614,1.78397664612391,277.2,270,284.4,7,"Average","Average"
"56","wpi317v3y3371990034",19,"RIGHT","wpi317v3y3371990034.session0",0.928918636907337,1.87065740245858,337.766666666667,323.466666666667,352.066666666667,7,"Average","Average"
"57","wpi317311l7y6206107",20,"RIGHT","wpi317311l7y6206107.session0",1.09916754222905,1.93343460847949,345.285714285714,332.333333333333,360.230769230769,6,"Average","Low"
"58","wpi3173384212p07g97",21,"RIGHT","wpi3173384212p07g97.session0",1.27381678567584,2.45306160958581,259.793103448276,237.733333333333,283.428571428571,7,"High","Average"
"59","wpi31a73135617377r9",20,"RIGHT","wpi31a73135617377r9.session0",0.77995962561938,2.0536893061464,277.035714285714,260.384615384615,291.466666666667,7,"Average","Average"
